thread_id,title,thread_url,comment_count,first_datetime_utc,last_datetime_utc
be885052ee1b,Hình ảnh đẹp về Messi (tất cả vào đây),https://voz.vn/t/hinh-anh-dep-ve-messi-tat-ca-vao-day.1048127/,18,2024-12-18T13:47:32+00:00,2024-12-18T15:11:37+00:00
c10d6ff95244,Phụ huynh cần nhớ: Mọi lời rao điều trị thành công cho trẻ đồng tính đều là giả mạo,https://voz.vn/t/phu-huynh-can-nho-moi-loi-rao-dieu-tri-thanh-cong-cho-tre-dong-tinh-deu-la-gia-mao.876118/,20,2023-11-16T00:23:10+00:00,2023-11-16T01:09:17+00:00
c3077b7f92c3,Sân bay Long Thành cần thêm 2.000 nhân công,https://voz.vn/t/san-bay-long-thanh-can-them-2-000-nhan-cong.1262127/,20,2026-07-20T05:50:12+00:00,2026-07-20T06:48:51+00:00
c49016a725e3,Quốc hội Mỹ thông qua luật cột mốc về hôn nhân đồng giới,https://voz.vn/t/quoc-hoi-my-thong-qua-luat-cot-moc-ve-hon-nhan-%C4%91ong-gioi.680113/,4,2022-12-09T01:24:03+00:00,2022-12-09T11:47:46+00:00
c65736046873,Singapore sở hữu hộ chiếu quyền lực nhất thế giới,https://voz.vn/t/singapore-so-huu-ho-chieu-quyen-luc-nhat-the-gioi.1262784/,20,2026-07-22T07:02:29+00:00,2026-07-22T07:16:44+00:00
d70a18f6efa7,[DIY] Vá lỗ đèn trên trần thạch cao có dễ ko các bác,https://voz.vn/t/diy-va-lo-den-tren-tran-thach-cao-co-de-ko-cac-bac.1262801/,11,2026-07-22T07:47:04+00:00,2026-07-22T08:27:39+00:00
d74fe44d9a7d,"Công an Ninh Bình thông tin vụ ""tố"" gian lận thi cử xôn xao mạng xã hội",https://voz.vn/t/cong-an-ninh-binh-thong-tin-vu-to-gian-lan-thi-cu-xon-xao-mang-xa-hoi.1262468/,20,2026-07-21T06:36:20+00:00,2026-07-21T08:11:16+00:00
d7816e6bba80,"Rời chính trường sang làm cho hãng xe Trung Quốc, cựu Ngoại trưởng Hungary bị điều tra",https://voz.vn/t/roi-chinh-truong-sang-lam-cho-hang-xe-trung-quoc-cuu-ngoai-truong-hungary-bi-dieu-tra.1262511/,3,2026-07-21T08:29:29+00:00,2026-07-21T09:09:03+00:00
dd7061cd2b85,"Vụ cháy xe khách 7 người chết: Cha mẹ phá cửa cứu được 2 con, một bé bỏng 50% cơ thể",https://voz.vn/t/vu-chay-xe-khach-7-nguoi-chet-cha-me-pha-cua-cuu-duoc-2-con-mot-be-bong-50-co-the.1262480/,28,2026-07-21T07:26:01+00:00,2026-07-21T08:33:51+00:00
e18be55928d6,"Bộ Nội vụ thông tin về hướng sáp nhập 705 xã, phường chưa đạt chuẩn",https://voz.vn/t/bo-noi-vu-thong-tin-ve-huong-sap-nhap-705-xa-phuong-chua-dat-chuan.1258975/,19,2026-07-09T09:11:25+00:00,2026-07-09T09:45:22+00:00
ec9315453c52,Luật hôn nhân đồng giới chính thức có hiệu lực tại Thái Lan,https://voz.vn/t/luat-hon-nhan-dong-gioi-chinh-thuc-co-hieu-luc-tai-thai-lan.1015188/,14,2024-09-25T11:36:31+00:00,2024-09-25T16:11:41+00:00
ecbc771ede94,Có ngành nghề nào không có LGBT?,https://voz.vn/t/co-nganh-nghe-nao-khong-co-lgbt.197331/,19,2020-12-18T05:12:19+00:00,2020-12-18T05:26:32+00:00
f2471e0ec103,"VN-Index sáng 22/7 mất gần 38 điểm, cổ phiếu ngân hàng chìm trong sắc đỏ",https://voz.vn/t/vn-index-sang-22-7-mat-gan-38-diem-co-phieu-ngan-hang-chim-trong-sac-do.1262804/,20,2026-07-22T07:48:51+00:00,2026-07-22T08:13:19+00:00
f4c29efdfc54,Giấc mơ Metro: Văn hóa đi bộ 'thức giấc' giữa lòng đô thị (kỳ 1),https://voz.vn/t/giac-mo-metro-van-hoa-di-bo-thuc-giac-giua-long-do-thi-ky-1.1262461/,20,2026-07-21T05:49:13+00:00,2026-07-21T06:28:17+00:00
f53f228fd121,Tokyo công nhận quan hệ đồng giới,https://voz.vn/t/tokyo-cong-nhan-quan-he-dong-gioi.657432/,20,2022-11-02T02:11:23+00:00,2022-11-02T03:49:09+00:00
f5ea4ac7377a,Cam hành trình và cảm biến áp suất lốp cho oto cũ,https://voz.vn/t/cam-hanh-trinh-va-cam-bien-ap-suat-lop-cho-oto-cu.1256548/,17,2026-07-01T09:37:51+00:00,2026-07-22T08:25:37+00:00
f96039cbac79,[ dịch][nga] UAV tấn công Wildberries ở Krasnodar - hỏa hoạn nghiêm trọng và sơ tán,https://voz.vn/t/dich-nga-uav-tan-cong-wildberries-o-krasnodar-hoa-hoan-nghiem-trong-va-so-tan.1262689/,19,2026-07-22T02:40:28+00:00,2026-07-22T03:33:43+00:00
